cdid,item_name_kr,stat_code,time,data_value,unit
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2011Q2,-4470.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2011Q3,-5652.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2011Q4,-5392.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2012Q1,-5188.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2012Q2,-4768.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2012Q3,-5192.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2012Q4,-5852.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2013Q1,-6406.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2013Q2,-6475.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2013Q3,-6834.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2013Q4,-6148.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2014Q1,-5827.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2014Q2,-6310.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2014Q3,-4660.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2014Q4,-7284.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2015Q1,-5789.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2015Q2,-5948.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2015Q3,-4835.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2015Q4,-7511.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2016Q1,-5787.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2016Q2,-5685.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2016Q3,-6480.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2016Q4,-6056.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2017Q1,-4989.0,GBP million
IKBP,2차소득(SI),UK_BoP_Table_A_sub1,2017Q2,-6972.0,GBP million
